name,address,latitude,longitude,phone,website
Snehashraya Foundation,"#5, Bhavani St, Gurumurthy Reddy Layout, Ramamurthy Nagar, Bengaluru, Karnataka 560016",13.02103922,77.67249622,7795832724,snehashrayafoundation.org
VARA FOUNDATIONS,"No.7, 5th Main Rd, Jagruthi Colony, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",12.91426747,77.58003461,9900227171,varafoundations.org
RK Foundation,"2nd Floor, New Raja Building, land mark:Near, TOWN HALL, 2/24 & 3/21, NR Rd, above kamath restaurant & Union Bank of India, Bengaluru, Karnataka 560002",12.9812735,77.57997961,8022210088,rkfoundation.org
Aahwahan Foundation,"Building No-40, 3rd Floor, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560041",12.93173918,77.5898629,9113018004,aahwahan.com
Vidyagokula Charitable Trust,"5H27+3FV, Shanimahatma Temple Rd, near Navachetana School next, Yeddyurappa Nagar, Singanayakanahalli, Singanayakanahalli Amanikere, Karnataka 560119",13.16058919,77.56104197,9739987399,vidyagokulacharitabletrust.org
Vathsalya Charitable Trust,"717, 5th Cross Rd, 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",13.03687323,77.6430396,8025457360,vctblr.org
Avyang foundation- Destitute & Old age home,"Kaveri Layout, Mariyannapalya, Hebbal Kempapura, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024",13.08472415,77.60626475,9035459524,avyang.org
Kritagyata Trust,"No.260/1, Kritagyata Trust, 2nd main road,11th Cross Road kogilu, cross, Maruthi Nagar, Yelahanka, Bengaluru, Karnataka 560064",13.10987983,77.60748121,9901238222,kritagyata.org
Yashodha Education And Charitable Trust,"2nd floor, No.1282, 16th Main Rd, Begur Rd, Mico Layout, Hongasandra, Bengaluru, Karnataka 560114",12.88986016,77.62605641,8123264845,yashodaect.org
loving hearts Charity Organization,"Central Street, 123, 6th St, Austin Town, Neelasandra, Bengaluru, Karnataka 560047",12.9612137,77.6142536,9940325533,lovinghearts.ind.in
Roti Charity Trust,"412, 30th A Cross Rd, BTB Area, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041",12.92912346,77.5947586,9741906021,roticharitytrust.org
Bosco Mane,"242,4th Main Rd, 2nd Cross, Chamrajpet, Bengaluru, Karnataka 560018",12.95915747,77.56936416,8022424138,boscoban.org
Amrutha Shishu Nivasa,"Bull Temple Road, 1A, 5th Main Rd, NR Colony, Bengaluru, Karnataka 560004",12.94255647,77.56716323,8762764643,shishunivasa.org.in
Vatsalyapuram Trust NGO Jayanagar Bangalore,"House no.166, 37 cross, 7th Main Rd, in front of good shepherd school, 4th Block, 5th Block, Jayanagar, Bengaluru, Karnataka 560041",12.92304603,77.58226555,8904278878,vatsalyapuram.com
Vidyaranya,"Municipal No.34, 3rd Floor Royal Park Apartments, Unit, 15, Park Rd, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560051",12.98475611,77.60090305,8022862622,vidyaranya.org
Help2Educate Foundation,"4th N block, 33, Dr Rajkumar Rd, 4N Block, Rajajinagar, Bengaluru, Karnataka 560010",12.98497302,77.56055696,9916777723,help2educatefoundation.org
Home of Compassion,"103, 21st Block, HBR Layout 2nd Block, 1st Stage, HBR Layout, Bengaluru, Karnataka 560043",13.02059615,77.62862511,9738238031,liftinghandfoundation.com
OM ASHRAM TRUST ( ಓಂ ಆಶ್ರಮ ಟ್ರಸ್ಟ್) - NGO,"19/2, 1st Main, Vijayashree Layout Hulimavu Gate, Bannerghatta Rd, behind City Union Bank, Bengaluru, Karnataka 560076",12.88395376,77.59557208,9986093922,omashram.org
Navachetana Children Orphanage - MTNC Trust,"1st Cross, Cheemasandra Gate, Near BrenStarlight Apartment, Ramaiah Layout, Aavalahalli, Bengaluru, Karnataka 560049",13.0410418,77.73978558,6363387310,mtnctrust.org
Shree Shiradi Sai Anathalaya Charitable Trust,"#1107, 9th Cross Rd, HMT Layout, Nagasandra, Bengaluru, Karnataka 560073",13.04484748,77.49957701,9164086681,sssact.co.in
Advika Care Foundation,"8th Mile, 41, Tumkur Rd, Raja Reddy Layout, Post, Nagasandra, Bengaluru, Karnataka 560073",13.05220556,77.50575682,9606699310,advikacarefoundation.org
Youth Foundation of India,"Anand Complex, Tthe Mail Signal 2nd Floor, Maheswari Nagar, T. Dasarahalli, Bengaluru, Karnataka 560057",13.05354336,77.50644347,9108007133,youthfoundationofindia.in
Bless Society of Rural and Urban Development,"Friends Circle, 1-2, 1st Main Road, Laggere Main Rd, Peenya, Bengaluru, Karnataka 560058",13.02310644,77.51777312,9663665248,blessindia.org.in
Sparsha Trust,"2nd Cross, 12th Main Rd, 1st Stage, Gokula 1st Stage, HMT Layout, Mathikere, Bengaluru, Karnataka 560054",13.03715472,77.5582852,9740755495,sparsha.org
Yuktha Charitable Trust,"R.T. Nagar, 106, 8th Cross, Kanakanagar, KHB Main Roard, Post, Bengaluru, Karnataka 560045",13.04417856,77.60978362,9108564921,yukthatrust.org/en
SAMUHA FOUNDATION TRUST,"272.4th main .4th stage, Industrial Town Rd, beside Sri Vidya industrial training centre, A D Halli, Basaveshwar Nagar, Bengaluru, Karnataka 560010",12.99032404,77.54489562,8147713240,samuhafoundation.org
Serveseed Foundation,"2nd Floor, 235, 13th Cross Rd, 2nd Stage, Binnamangala, Indiranagar, Bengaluru, Karnataka 560008",12.98431292,77.63587259,9309790830,serveseedfoundation.org
Rakshana Charitable Trust,"6 Munishwara Layout Kogilu Agrahara Village, Near Adi's North Lake Apartment Sampigehalli Main Road, Taluk, Yelahanka, Bengaluru, Karnataka 560064",13.10432753,77.62005489,8023339655,rakshana.org
CHILD RIGHTS TRUST,"4606, 6th Floor, High point Building, IV, Palace Rd, High Grounds, Bengaluru, Karnataka 560001",12.99246423,77.58865991,8022201098,childrightstrust.in
Sampark NGO,"39, 1st Ave, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034",12.93227747,77.63012914,8025530196,sampark.org
Give (give.do),"2nd floor, Rigel, 15-19, Marathahalli Outer Ring Rd, Dodda Nekkundi Extension, Doddanekkundi, Bengaluru, Karnataka 560037",12.98514094,77.70497349,7738714428,give.do
The JoinHands Foundation,"P.B. No. 451, Basavanagudi, Bengaluru, Karnataka 560004",12.95636855,77.57313756,6364707777,thejoinhands.org
RAKSHA FOUNDATION,"140, Magadi Main Rd, near Venkateshwara textile, above Muthoot finance, Gopalapura, Binnipete, Bengaluru, Karnataka 560023",12.98781728,77.56077794,9844970447,rakshafoundation.1ngo.in
Gandhi Old Age Home,"Magadi Main Rd, near SBI Bank, Kadabagere Cross, Landmark:, Bengaluru, Karnataka 560091",13.00644747,77.4522866,9243123730,gandhioldagehome.com
Sai Pragathi old age home care and nursing,"299/1 8th cross, Tent Rd, beside apoorva power systems, 3rd Block, Saraswathipura, Nandini Layout, Bengaluru, Karnataka 560096",13.01085546220448,77.54112012336965,8618241892,https://www.saipragathihome.com/
Sri Chaithanya Old Age Home,"267, 17th Cross Rd, 5th Phase, KR Layout, J. P. Nagar, Bengaluru, Karnataka 560078",12.91611209,77.58618247,9611894839,https://srichaithanya.1ngo.in/
